period,quarter,year,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2013-Q1,1,2013,11886,1633,3927,2314,3763,8703,8168,20589,3717,0,0,16871,8340,674,,0,3717
2012-Q4,4,2012,11081,1252,3909,2216,3473,8587,8042,19668,4175,0,0,15493,8340,664,,0,4175
2012-Q3,3,2012,8758,555,2029,2401,3540,8328,7480,17086,3077,0,0,14009,5561,262,,0,3077
2012-Q2,2,2012,10141,2144,932,2430,4316,7982,7116,18122,4257,208,0,13865,5561,128,,0,4257
2012-Q1,1,2012,10079,2983,632,2384,3896,7278,6162,17358,3737,417,0,13621,5561,64,,0,3737
2011-Q4,4,2011,9468,3157,736,2169,3272,6115,5045,15583,3105,0,0,12477,5561,59,,0,3105
2011-Q3,3,2011,8979,1986,1216,2177,3469,5357,4270,14336,2796,309,0,11540,3708,139,,0,2796
2011-Q2,2,2011,9520,193,3129,1986,4078,5179,3856,14699,3376,928,0,11323,3708,171,,0,3376
2011-Q1,1,2011,7327,223,2318,1503,3185,4953,3545,12280,3375,1035,0,8905,3566,169,,0,3375
2010-Q4,4,2010,5920,263,2092,1125,2351,4853,3429,10773,2809,568,0,7964,3531,118,,0,2809
2010-Q3,3,2010,5242,289,1330,1386,2149,4650,3131,9892,2587,332,5,7305,3531,111,,0,2587
2010-Q2,2,2010,6384,462,2535,970,2323,4293,3066,10677,3336,325,7,7341,3531,54,,0,3336
2010-Q1,1,2010,5530,221,2402,897,1738,3491,2639,9021,2130,14,10,6856,3531,245,,0,2130
2009-Q4,4,2009,5119,426,2314,778,1312,3412,2525,8531,1858,13,12,6638,3513,84,,0,1858
2009-Q3,3,2009,4144,218,1912,735,961,3348,2157,7491,1346,1102,243,6094,3513,0,,0,1346
2009-Q2,2,2009,4048,876,985,658,1240,2792,2078,6840,1070,10,17,5718,1756,64,,0,1070
2009-Q1,1,2009,3302,1000,221,691,1346,2804,1960,6105,890,10,20,5165,1753,73,,0,890
2008-Q4,4,2008,3396,341,559,646,1797,2537,1943,5933,1368,188,22,4515,1753,104,,0,1368
2008-Q3,3,2008,3518,567,626,596,1647,2416,1839,5933,992,199,25,4894,1753,58,,0,992
2008-Q2,2,2008,3579,287,567,779,1872,2565,1798,6144,1358,478,27,4742,1753,74,0.0,0,1358
2008-Q1,1,2008,3322,152,786,716,1638,2683,1730,6005,1338,535,30,4631,1753,146,,0,1338
2007-Q4,4,2007,3019,114,301,887,1643,2325,1519,5345,1029,888,0,4316,1753,0,,0,1029
2007-Q3,3,2007,2747,456,445,673,1115,2499,1458,5245,1111,312,35,4134,1753,108,,0,1111
2007-Q2,2,2007,2432,164,396,608,1184,2704,1221,5136,1185,15,37,3952,1753,442,,0,1185
2007-Q1,1,2007,1956,206,314,475,908,2845,1082,4801,842,17,40,3959,1670,184,,0,842
2006-Q4,4,2006,1951,156,307,513,919,1613,1072,3564,827,18,42,2736,1590,139,,0,827
2006-Q3,3,2006,2693,173,161,1024,1277,1293,1050,3987,1380,1292,87,2607,1590,0,,0,1380
2006-Q2,2,2006,3002,124,162,836,1807,1082,805,4084,1594,1429,41,2490,1590,0,,0,1594
2006-Q1,1,2006,2485,489,22,769,1153,1521,787,4006,1593,9,26,2412,1590,999,,0,1593
2005-Q4,4,2005,2900,1012,3,759,1093,950,747,3850,1692,12,10,2157,1590,1252,,0,1692
2004-Q4,4,2004,1770,516,292,179,778,785,558,2555,702,3,20,1852,1579,201,,0,702
